COSECHA,codmes,producto_f,FLG,SUBP,MADURACION,SALDO
2020,202201,9.PNR Capital de trabajo,1,2,0,4.7132923253999996E8
2020,202201,9.PNR Capital de trabajo,1,5,0,2.725865397900002E9
2020,202201,9.PNR Capital de trabajo,1,1,0,8707365.420000006
2020,202201,9.PNR Capital de trabajo,0,5,0,1.9392659716399998E10
2020,202201,9.PNR Capital de trabajo,0,1,0,1.7716251289999988E7
2020,202201,9.PNR Capital de trabajo,0,2,0,6.762072235100004E9
2020,202202,9.PNR Capital de trabajo,0,1,0,1.4459795539999995E7
2020,202202,9.PNR Capital de trabajo,0,5,0,1.815274245149006E10
2020,202202,9.PNR Capital de trabajo,1,5,0,2.262465071310001E9
2020,202202,9.PNR Capital de trabajo,1,2,0,3.4826515405000025E8
2020,202202,9.PNR Capital de trabajo,1,1,0,5337434.050000003
2020,202202,9.PNR Capital de trabajo,0,2,0,6.120414032639999E9
2020,202203,9.PNR Capital de trabajo,1,1,0,7083832.030000002
2020,202203,9.PNR Capital de trabajo,1,5,0,5.243022059210002E9
2020,202203,9.PNR Capital de trabajo,0,5,0,1.3972921275130014E10
2020,202203,9.PNR Capital de trabajo,1,2,0,7.462050401299995E8
2020,202203,9.PNR Capital de trabajo,0,2,0,4.987573409129999E9
2020,202203,9.PNR Capital de trabajo,0,1,0,9722570.669999998
2020,202204,9.PNR Capital de trabajo,1,2,0,6.701057728400003E8
2020,202204,9.PNR Capital de trabajo,0,2,0,4.214177185400003E9
2020,202204,9.PNR Capital de trabajo,1,1,0,4662157.74
2020,202204,9.PNR Capital de trabajo,1,5,0,4.8867710087999935E9
2020,202204,9.PNR Capital de trabajo,0,5,0,1.1559827130790022E10
2020,202204,9.PNR Capital de trabajo,0,1,0,9311604.709999995
2020,202205,9.PNR Capital de trabajo,0,2,0,3.784340720790002E9
2020,202205,9.PNR Capital de trabajo,1,2,0,4.8901049524999994E8
2020,202205,9.PNR Capital de trabajo,1,1,0,4728767.260000001
2020,202205,9.PNR Capital de trabajo,1,5,0,4.623090850629998E9
2020,202205,9.PNR Capital de trabajo,0,1,0,1.0312092860000007E7
2020,202205,9.PNR Capital de trabajo,0,5,0,1.0951833054579996E10
2020,202206,9.PNR Capital de trabajo,0,2,0,3.111800953019998E9
2020,202206,9.PNR Capital de trabajo,0,1,0,8035390.739999996
2020,202206,9.PNR Capital de trabajo,0,5,0,9.719107297089994E9
2020,202206,9.PNR Capital de trabajo,1,2,0,4.127887999099998E8
2020,202206,9.PNR Capital de trabajo,1,1,0,4216538.519999998
2020,202206,9.PNR Capital de trabajo,1,5,0,3.907323133840005E9
2020,202207,9.PNR Capital de trabajo,1,2,0,3.2392531135E8
2020,202207,9.PNR Capital de trabajo,0,1,0,7911369.430000007
2020,202207,9.PNR Capital de trabajo,0,2,0,2.519117452279999E9
2020,202207,9.PNR Capital de trabajo,1,5,0,3.408414471889999E9
2020,202207,9.PNR Capital de trabajo,0,5,0,8.773055872910006E9
2020,202207,9.PNR Capital de trabajo,1,1,0,2720395.4600000014
2020,202208,9.PNR Capital de trabajo,1,1,0,2766863.6099999994
2020,202208,9.PNR Capital de trabajo,1,2,0,2.728371088299999E8
