COSECHA,codmes,MADURACION,SALDO
2020,202201,0,8707365.420000006
2020,202202,0,5337434.050000003
2020,202203,0,7083832.030000002
2020,202204,0,4662157.74
2020,202205,0,4728767.260000001
2020,202206,0,4216538.519999998
2020,202207,0,2720395.4600000014
2020,202208,0,2766863.6099999994
2020,202209,0,2132653.6200000006
2020,202210,0,2252911.1100000003
2020,202211,0,2127016.3099999987
2020,202212,0,1520978.3700000006
2020,202301,0,185015.65000000008
2020,202302,0,25263.05999999999
2020,202303,0,25263.05999999999
2020,202304,0,25263.05999999999
2020,202305,0,410656.53000000014
2020,202306,0,344897.58
2020,202307,0,235972.4200000001
2020,202308,0,25263.05999999999
2020,202309,0,25263.05999999999
2020,202310,0,25263.05999999999
2020,202311,0,25263.05999999999
2020,202312,0,25263.05999999999
2020,202401,0,898873.5600000003
2020,202402,0,831626.3300000003
2020,202404,0,741635.8500000003
2020,202405,0,694514.6200000005
2020,202503,0,137004.40999999992
202101,202201,12,133105.19
202101,202202,13,60511.89
202101,202203,14,0.0
202101,202204,15,0.0
202101,202205,16,0.0
202101,202206,17,0.0
202101,202207,18,0.0
202101,202208,19,0.0
202101,202209,20,0.0
202101,202210,21,0.0
202101,202211,22,0.0
202101,202212,23,0.0
202101,202301,24,0.0
202101,202302,25,0.0
202101,202303,26,0.0
202101,202304,27,0.0
202101,202305,28,0.0
202101,202306,29,0.0
202102,202201,11,317907.96
202102,202202,12,84647.33
202102,202203,13,80742.48
202102,202204,14,12032.4
202102,202205,15,10615.81
202102,202206,16,73156.86
202102,202207,17,70495.06
202102,202208,18,6225.49
202102,202209,19,13036.4
202102,202210,20,3161.21
202102,202211,21,1589.14
202102,202212,22,0.0
202102,202301,23,0.0
202103,202201,10,667629.1799999999
202103,202202,11,436305.03
202103,202203,12,245925.77999999997
202103,202204,13,249338.95
202103,202205,14,100024.84
202103,202206,15,101771.92
202103,202207,16,96743.95999999999
202103,202208,17,87820.28
202103,202209,18,83667.61
202103,202210,19,0.0
202103,202211,20,0.0
202103,202212,21,0.0
202103,202301,22,0.0
202103,202303,24,57622.44
202104,202201,9,1358078.75
202104,202202,10,812629.85
202104,202203,11,357505.02
202104,202204,12,137020.89
202104,202205,13,121516.09000000001
202104,202206,14,18158.46
202104,202207,15,11786.470000000001
202104,202208,16,0.0
202104,202209,17,28240.31
202104,202210,18,26642.63
202104,202211,19,0.0
202104,202212,20,23367.48
202104,202301,21,0.0
202104,202302,22,0.0
202104,202303,23,0.0
202104,202304,24,0.0
202104,202305,25,0.0
202104,202306,26,0.0
202105,202201,8,1085963.8
202105,202202,9,793200.16
202105,202203,10,228720.51000000007
202105,202204,11,134311.31
202105,202205,12,21509.62
202105,202206,13,5015.5
202105,202207,14,89589.06
202105,202208,15,86564.52
202105,202209,16,83487.18
202105,202210,17,80309.07
202105,202211,18,0.0
202105,202212,19,80309.07
202105,202301,20,79797.16
202105,202302,21,78878.75
202105,202303,22,77848.8
202105,202304,23,76904.8
202105,202305,24,75916.23
202105,202306,25,74947.9
202105,202307,26,73935.07
202105,202308,27,72940.53
202105,202309,28,71933.05
202105,202310,29,70882.64
202105,202311,30,69848.79
202105,202312,31,68771.7
202105,202401,32,0.0
202105,202402,33,0.0
202105,202403,34,0.0
202105,202404,35,0.0
202105,202405,36,0.0
202105,202406,37,0.0
202106,202201,7,906544.81
202106,202202,8,765173.0800000001
202106,202203,9,515818.64
202106,202204,10,313519.86
202106,202205,11,78140.58
202106,202206,12,0.0
202106,202207,13,0.0
202106,202208,14,18184.07
202106,202209,15,0.0
202106,202210,16,0.0
202106,202211,17,26325.63
202106,202212,18,25564.95
202107,202201,6,996350.63
202107,202202,7,987553.65
202107,202203,8,420267.28
202107,202204,9,229993.52999999997
202107,202205,10,145104.28999999998
202107,202206,11,80101.83
202107,202207,12,15780.46
202107,202208,13,0.0
202107,202209,14,0.0
202107,202210,15,0.0
202107,202211,16,0.0
202108,202201,5,2107061.3499999996
202108,202202,6,1909885.0300000003
202108,202203,7,1323420.15
202108,202204,8,921065.31
202108,202205,9,531221.46
202108,202206,10,446976.79000000004
202108,202207,11,248309.00999999998
202108,202208,12,205695.36000000002
202108,202209,13,19297.11
202108,202210,14,19297.11
202108,202211,15,19297.11
202108,202212,16,19297.11
202108,202301,17,16297.11
202108,202302,18,0.0
202108,202303,19,0.0
202109,202201,4,1.4310627379999999E7
202109,202202,5,1.39642202E7
202109,202203,6,1.5976150180000003E7
202109,202204,7,1.203296366E7
202109,202205,8,9583780.64
202109,202206,9,6547931.090000002
202109,202207,10,5701536.840000001
202109,202208,11,4223639.569999999
202109,202209,12,3202143.0999999996
202109,202210,13,1967406.75
202109,202211,14,1798617.67
