MES,MADURACION,EM
202201,0,0.4003468482847808
202202,0,0.4159007983094184
202203,0,0.3603828414400859
202204,0,0.3932181032805235
202205,0,0.2653528734374453
202206,0,0.3624563592105574
202207,0,0.39997094199470606
202208,0,0.3714639660012746
202209,0,0.3653210832377281
202210,0,0.45602634616919335
202211,0,0.41426316761400017
202212,0,0.44947964290695425
202301,0,0.4685969150480852
202302,0,0.4967557443548021
202303,0,0.5622309554577538
202304,0,0.4536412980538494
202305,0,0.45811122747012617
202306,0,0.45951987787880266
202307,0,0.4862145884185822
202308,0,0.4984661920705358
202309,0,0.47878958930746157
202310,0,0.4913200473698571
202311,0,0.46699840057025316
202312,0,0.5197265518993643
202401,0,0.5243934287594407
202402,0,0.516591240960103
202403,0,0.5977976736977859
202404,0,0.4765836616725822
202405,0,0.5243894349274131
202406,0,0.4612704587451968
202407,0,0.5212587339337954
202408,0,0.551397795403878
202409,0,0.5631802971440175
202410,0,0.5371534169042058
202411,0,0.5161089569232963
202412,0,0.4440741461989567
202501,0,0.39791849416813624
202502,0,0.582255387713864
202503,0,0.4252310228449402
202504,0,0.4274683412149265
202505,0,0.5295401035979866
202506,0,0.42111175681088175
202507,0,0.4401932600188338
202201,12,0.2515365966028716
202202,13,0.27167500239112374
202203,14,0.28847465497906244
202204,15,0.2885999591450331
202205,16,0.17994020588564633
202206,17,0.261422946113323
202207,18,0.2687772679152863
202208,19,0.2676772151839515
202209,20,0.2693720719847651
202210,21,0.28069928853112125
202211,22,0.261112557557248
202212,23,0.2606643580719055
202301,24,0.358502968185217
202302,25,0.3575544534007195
202303,26,0.5607024477281978
202304,27,0.2773816378790001
202305,28,0.40941143233391103
202306,29,0.3756028086573593
202307,30,0.46319855681483274
202308,31,0.46886248238084666
202309,32,0.37331187045409053
202310,33,0.5057810864507197
202311,34,0.30326299820653035
202312,35,0.30645206305035266
202401,36,0.3371527564078039
202402,37,0.3762244343936979
202403,38,0.5380019846224031
202404,39,0.5519686399668357
202405,40,0.3585873593408674
202406,41,0.40648703884955373
202407,42,0.6602105119226567
202408,43,0.606324105727001
202409,44,0.4514557102197761
202410,45,0.29089791042370633
202411,46,0.525715198717714
202412,47,0.3557556688059818
202501,48,0.3503288209522932
202502,49,0.39023749478621894
202503,50,0.4168816252215991
202504,51,0.49303435379860105
202505,52,0.2897774912783421
202506,53,0.391151777828054
202507,54,0.32722730046285087
202201,11,0.29221214922465283
202202,12,0.2460999904123369
202203,13,0.2700643123992389
202204,14,0.28653621060444834
202205,15,0.18096444929315142
202206,16,0.321188301163793
202207,17,0.2871363797747383
202208,18,0.3031292832868678
202209,19,0.3244866153334928
202210,20,0.224927100898815
202211,21,0.3169019190215179
202212,22,0.4418582961704957
202301,23,0.2802275240660092
202302,24,0.6538102834229594
202303,25,0.6449224947170171
202304,26,0.2171534225700951
202305,27,0.43647929242786365
202306,28,0.559865302023111
202307,29,0.8295068505501184
202308,30,0.6244274494433981
202309,31,0.7785855352449701
202310,32,0.8267782181047962
202311,33,0.8854219438440888
202312,34,0.748593594825031
202401,35,0.428789410397488
202402,36,0.4830315135266969
202403,37,0.8506042530305943
202404,38,0.8166087634230519
202405,39,0.9269189708116659
202406,40,0.8440865611275733
202407,41,0.9536062782918913
202408,42,0.76624630006703
202409,43,0.9901786938058694
202410,44,0.4930101215529481
202411,45,0.7252077443651391
202412,46,0.802461586565902
202501,47,0.7480489748933115
202502,48,0.4127435857623
202503,49,0.8865694078690395
202504,50,0.8871531313361991
202505,51,0.7935986824379818
202506,52,0.6528318363102366
202507,53,0.891686763028288
202201,10,0.26676993245143504
202202,11,0.2671504616476371
202203,12,0.25083806818433046
202204,13,0.2586290624900018
202205,14,0.17916368883836914
202206,15,0.27334456520626216
202207,16,0.3054888025441887
202208,17,0.2812464087023572
202209,18,0.23627198321804396
202210,19,0.27617740875719937
202211,20,0.28127516212024806
202212,21,0.23400305362172538
202301,22,0.32843416119697855
202302,23,0.41427254007026004
202303,24,0.5110148592976865
202304,25,0.5446418173574277
202305,26,0.4966749227494275
202306,27,0.2819897975930716
202307,28,0.46922713435219926
202308,29,0.34715872421627025
202309,30,0.2692772278457036
202310,31,0.08897934676545552
202311,32,0.3084296808905803
202312,33,0.0516548938149789
202401,34,0.37663383816158597
202402,35,0.30634879220087197
202403,36,0.03361999541532279
202404,37,0.33991484063098676
202405,38,0.0320801872180069
202406,39,0.05615876788364993
202407,40,0.5533635336311031
202408,41,0.3674663676177122
202409,42,0.419532326884707
202410,43,0.3658947869672604
202411,44,0.594614633461162
202412,45,0.058220185765744024
202501,46,0.43985826580670123
202502,47,0.0595940151931978
202503,48,0.16175456573180336
202504,49,0.11289104034836595
202505,50,0.5851932886102507
202506,51,0.6199636766284982
202507,52,0.05559098126900029
202201,9,0.27995673388622216
202202,10,0.2741006796285501
202203,11,0.1943027793266443
202204,12,0.2377498076284875
202205,13,0.1789842585912187
202206,14,0.23011794893085996
202207,15,0.3304396320225684
202208,16,0.2655805483794423
202209,17,0.262271442997029
202210,18,0.26983149805368317
202211,19,0.2231148117997649
202212,20,0.3080731916674673
202301,21,0.2979896225301829
202302,22,0.43204842690034556
202303,23,0.5216296439839806
202304,24,0.27966580369702027
202305,25,0.30350671037123755
202306,26,0.5447766262989016
202307,27,0.4250866511661521
202308,28,0.5815010169727768
202309,29,0.24864827517504573
202310,30,0.37154363352330366
202311,31,0.2678665283955724
202312,32,0.5776846059313653
202401,33,0.6346032891544936
202402,34,0.1503613214785224
202403,35,0.40782706387618595
202404,36,0.144153417747037
202405,37,0.13432797547324138
202406,38,0.13752704904813662
202407,39,0.357888301933283
202408,40,0.48777217227732544
202409,41,0.5631929580637751
202410,42,0.46179571964603766
202411,43,0.1544135229543015
202412,44,0.2816534732342275
202501,45,0.02437163718135144
202502,46,0.21543938490077505
202503,47,0.02042948168954585
202504,48,48.61361186442602
202505,49,0.4880172373191056
202506,50,0.46837826940597466
202507,51,1.0
202201,8,0.22620552667703356
202202,9,0.2809086060781131
202203,10,0.20931754422616985
202204,11,0.2082768425161141
202205,12,0.1763907775234277
202206,13,0.2092069707426112
202207,14,0.27145185940528044
202208,15,0.2539910689283413
202209,16,0.20894875919289213
202210,17,0.2024278517855109
202211,18,0.19242161983767248
202212,19,0.1925834194239754
202301,20,0.25595136458678425
202302,21,0.2918806152143996
202303,22,0.40907642943408673
202304,23,0.2582588550725058
202305,24,0.3251017454305967
202306,25,0.30319347725118156
202307,26,0.45196318931510915
202308,27,0.3020818565778024
202309,28,0.12055707573603765
202310,29,0.17362672272478133
202311,30,0.20487186621940484
202312,31,0.11820541901282003
202401,32,0.21068133156083726
202402,33,0.20269535273458375
202403,34,0.0614610187696885
202404,35,0.26661164313646135
202405,36,0.2733827022695896
202406,37,0.3794240335171672
202407,38,0.13886101161384606
202408,39,0.08844076662462874
202409,40,0.2093392518784661
202410,41,0.18715414620581694
202411,42,0.0
202412,43,0.21522672593595307
202501,44,0.13104817709976307
202502,45,0.13341985703381556
202503,46,0.13245196482355448
202504,47,0.09806208264266635
202505,48,0.09548293501858096
202506,49,0.07633615718154439
202507,50,0.084874633216481
202201,7,0.2486326296589986
202202,8,0.24994139034029306
202203,9,0.20099318184647083
202204,10,0.22356950676368328
202205,11,0.15979725795125752
202206,12,0.25359568287359163
202207,13,0.2243200717851952
202208,14,0.22090038619841515
202209,15,0.2441173447042693
202210,16,0.2591595192896034
202211,17,0.26664123449009103
202212,18,0.27749439869055065
202301,19,0.25676956344778334
202302,20,0.30573384747571
202303,21,0.44647104897668977
202304,22,0.3473844086422502
202305,23,0.35710077832034254
202306,24,0.46692858908102347
202307,25,0.4929144109672845
202308,26,0.4751131835845325
202309,27,0.4055609815611411
202310,28,0.30439619497670867
202311,29,0.4867505128339315
202312,30,0.4764159744226518
202401,31,0.25995527958670356
202402,32,0.23495237016718273
202403,33,0.35896898306820135
202404,34,0.503814578254415
202405,35,0.4242889563970161
202406,36,0.5505617716354833
202407,37,0.6666511882573791
202408,38,0.5992205946243135
202409,39,0.618926172007481
202410,40,0.5393836686514654
202411,41,0.7300853755112224
202412,42,0.309000096336664
202501,43,0.4206981824793114
202502,44,0.6229493903048442
202503,45,0.4753223574663187
202504,46,0.5972928561168286
202505,47,0.36075699463597183
202506,48,0.336216574884273
202507,49,0.12869371926579784
202201,6,0.19504310373211786
202202,7,0.22117361201679972
202203,8,0.17443063327253674
202204,9,0.1880864455060694
202205,10,0.17597841241933465
202206,11,0.20868774599515577
202207,12,0.2137208054810166
202208,13,0.21480656588063043
202209,14,0.21166396797695433
202210,15,0.2111457881758204
202211,16,0.21410958995332055
202212,17,0.20722389202046343
202301,18,0.16797817443535779
202302,19,0.23504895679527726
202303,20,0.4074508366195704
202304,21,0.1903575428775813
202305,22,0.22178866513981024
202306,23,0.2528485382311482
202307,24,0.17641372123022594
202308,25,0.127587898631502
202309,26,0.18511517760331866
202310,27,0.1809611001105781
202311,28,0.15121161140022674
202312,29,0.13643615076118243
202401,30,0.15240146183034303
202402,31,0.11520574044971528
202403,32,0.06035279512342888
202404,33,0.0931785034911296
202405,34,0.18097645951877056
202406,35,0.0889073303161535
202407,36,0.14537815764542344
202408,37,0.16795473614676087
202409,38,0.1832184613559438
202410,39,0.14392563714475595
202411,40,0.22833953887928132
202412,41,0.14684930445540398
202501,42,0.2591964678719214
202502,43,0.028179179795559534
202503,44,0.13977185438941062
202504,45,0.0
202505,46,0.03735612716266293
202506,47,0.0
202507,48,0.026299382143180363
202201,5,0.20728756866830364
202202,6,0.22716154480301376
202203,7,0.1957871661914806
202204,8,0.16788920406705568
202205,9,0.16984699136268203
202206,10,0.18408877787049988
202207,11,0.21140502631649674
202208,12,0.1774090082591504
202209,13,0.18644961955723569
202210,14,0.18068477082585535
202211,15,0.2048644031780963
202212,16,0.23283828304943352
202301,17,0.24213218520021557
202302,18,0.2821305732468993
202303,19,0.4131714197979318
202304,20,0.22956029074972115
202305,21,0.24344919595340803
202306,22,0.2812022448233277
202307,23,0.3255543788333686
202308,24,0.4849380423895583
202309,25,0.31160537470120264
202310,26,0.3087721090639371
202311,27,0.3275694314811343
202312,28,0.5093451124732257
202401,29,0.24002188232690427
202402,30,0.08812043836173546
202403,31,0.24335163559864942
202404,32,0.22340490631754875
202405,33,0.1453572442034155
202406,34,0.08607229094418899
202407,35,0.0017375658940596954
202408,36,0.08622845630136189
202409,37,0.26979100976916875
202410,38,0.09656144444593913
202411,39,0.0
202412,40,0.06506710735231931
202501,41,0.05877163291100706
202502,42,0.0
202503,43,0.04827610907708038
