cosecha,codmes,maduracion,saldo_inicial,provisionporc,pdponderado,rango_pd,provisionporcacum,acumulado30
202201,202201,0,3688451.340000,0.010000,0.021445,5. Bajo II,0.010000,0.008675
202201,202202,1,3688451.340000,-0.002604,0.021445,5. Bajo II,0.007396,0.008675
202201,202203,2,3688451.340000,-0.001240,0.021445,5. Bajo II,0.006156,0.008675
202201,202204,3,3688451.340000,-0.000505,0.021445,5. Bajo II,0.005651,0.008675
202201,202205,4,3688451.340000,-0.000556,0.021445,5. Bajo II,0.005095,0.008675
202201,202206,5,3688451.340000,-0.000434,0.021445,5. Bajo II,0.004661,0.008675
202201,202207,6,3688451.340000,-0.000676,0.021445,5. Bajo II,0.003985,0.008675
202201,202208,7,3688451.340000,-0.000142,0.021445,5. Bajo II,0.003843,0.008675
202201,202209,8,3688451.340000,-0.000390,0.021445,5. Bajo II,0.003453,0.008675
202201,202210,9,3688451.340000,-0.000178,0.021445,5. Bajo II,0.003275,0.008675
202201,202211,10,3688451.340000,-0.000119,0.021445,5. Bajo II,0.003156,0.008675
202201,202212,11,3688451.340000,-0.000221,0.021445,5. Bajo II,0.002935,0.008675
202201,202301,12,3688451.340000,-0.000081,0.021445,5. Bajo II,0.002854,0.008675
202201,202302,13,3688451.340000,-0.000250,0.021445,5. Bajo II,0.002604,0.008675
202201,202303,14,3688451.340000,-0.000176,0.021445,5. Bajo II,0.002428,0.008675
202201,202304,15,3688451.340000,-0.000082,0.021445,5. Bajo II,0.002346,0.008675
202201,202305,16,3688451.340000,-0.000107,0.021445,5. Bajo II,0.002239,0.008675
202201,202306,17,3688451.340000,-0.000080,0.021445,5. Bajo II,0.002159,0.008675
202201,202307,18,3688451.340000,-0.000099,0.021445,5. Bajo II,0.002060,0.008675
202201,202308,19,3688451.340000,0.000813,0.021445,5. Bajo II,0.002873,0.008675
202201,202309,20,3688451.340000,0.000911,0.021445,5. Bajo II,0.003784,0.008675
202201,202310,21,3688451.340000,0.002678,0.021445,5. Bajo II,0.006462,0.008675
202201,202311,22,3688451.340000,-0.000145,0.021445,5. Bajo II,0.006317,0.008675
202201,202312,23,3688451.340000,0.003067,0.021445,5. Bajo II,0.009384,0.008675
202201,202401,24,3688451.340000,-0.000185,0.021445,5. Bajo II,0.009199,0.008675
202201,202402,25,3688451.340000,-0.000126,0.021445,5. Bajo II,0.009073,0.008675
202201,202403,26,3688451.340000,-0.000029,0.021445,5. Bajo II,0.009044,0.008675
202201,202404,27,3688451.340000,-0.000037,0.021445,5. Bajo II,0.009007,0.008675
202201,202405,28,3688451.340000,-0.000161,0.021445,5. Bajo II,0.008846,0.008675
202201,202406,29,3688451.340000,-0.000029,0.021445,5. Bajo II,0.008817,0.008675
202201,202407,30,3688451.340000,-0.000142,0.021445,5. Bajo II,0.008675,0.008675
202201,202408,31,3688451.340000,-0.000021,0.021445,5. Bajo II,0.008654,0.008675
202201,202409,32,3688451.340000,-0.000034,0.021445,5. Bajo II,0.008620,0.008675
202201,202410,33,3688451.340000,-0.000028,0.021445,5. Bajo II,0.008592,0.008675
202201,202411,34,3688451.340000,-0.000164,0.021445,5. Bajo II,0.008428,0.008675
202201,202412,35,3688451.340000,-0.000045,0.021445,5. Bajo II,0.008383,0.008675
202201,202501,36,3688451.340000,-0.000023,0.021445,5. Bajo II,0.008360,0.008675
202201,202502,37,3688451.340000,-0.000019,0.021445,5. Bajo II,0.008341,0.008675
202201,202503,38,3688451.340000,-0.000017,0.021445,5. Bajo II,0.008324,0.008675
202201,202504,39,3688451.340000,-0.000017,0.021445,5. Bajo II,0.008307,0.008675
202201,202505,40,3688451.340000,-0.000018,0.021445,5. Bajo II,0.008289,0.008675
202201,202506,41,3688451.340000,-0.000018,0.021445,5. Bajo II,0.008271,0.008675
202201,202507,42,3688451.340000,-0.000019,0.021445,5. Bajo II,0.008252,0.008675
202201,202508,43,3688451.340000,-0.000060,0.021445,5. Bajo II,0.008192,0.008675
202201,202509,44,3688451.340000,-0.000020,0.021445,5. Bajo II,0.008172,0.008675
202201,202510,45,3688451.340000,-0.000017,0.021445,5. Bajo II,0.008155,0.008675
202202,202202,0,244988269.490000,0.010011,0.027368,4. Medio I,0.010011,0.072568
202202,202203,1,244988269.490000,-0.000849,0.027368,4. Medio I,0.009162,0.072568
202202,202204,2,244988269.490000,0.000039,0.027368,4. Medio I,0.009201,0.072568
202202,202205,3,244988269.490000,0.001567,0.027368,4. Medio I,0.010768,0.072568
202202,202206,4,244988269.490000,0.003117,0.027368,4. Medio I,0.013885,0.072568
202202,202207,5,244988269.490000,0.002082,0.027368,4. Medio I,0.015967,0.072568
202202,202208,6,244988269.490000,0.003146,0.027368,4. Medio I,0.019113,0.072568
202202,202209,7,244988269.490000,0.002115,0.027368,4. Medio I,0.021228,0.072568
202202,202210,8,244988269.490000,0.002264,0.027368,4. Medio I,0.023492,0.072568
202202,202211,9,244988269.490000,0.002966,0.027368,4. Medio I,0.026458,0.072568
202202,202212,10,244988269.490000,0.002368,0.027368,4. Medio I,0.028826,0.072568
202202,202301,11,244988269.490000,0.002194,0.027368,4. Medio I,0.031020,0.072568
202202,202302,12,244988269.490000,0.002269,0.027368,4. Medio I,0.033289,0.072568
202202,202303,13,244988269.490000,0.003622,0.027368,4. Medio I,0.036911,0.072568
202202,202304,14,244988269.490000,0.003010,0.027368,4. Medio I,0.039921,0.072568
202202,202305,15,244988269.490000,0.002652,0.027368,4. Medio I,0.042573,0.072568
202202,202306,16,244988269.490000,0.003120,0.027368,4. Medio I,0.045693,0.072568
202202,202307,17,244988269.490000,0.004194,0.027368,4. Medio I,0.049887,0.072568
202202,202308,18,244988269.490000,0.003028,0.027368,4. Medio I,0.052915,0.072568
202202,202309,19,244988269.490000,0.002043,0.027368,4. Medio I,0.054958,0.072568
202202,202310,20,244988269.490000,0.003667,0.027368,4. Medio I,0.058625,0.072568
202202,202311,21,244988269.490000,0.001948,0.027368,4. Medio I,0.060573,0.072568
202202,202312,22,244988269.490000,0.002255,0.027368,4. Medio I,0.062828,0.072568
202202,202401,23,244988269.490000,0.000985,0.027368,4. Medio I,0.063813,0.072568
202202,202402,24,244988269.490000,0.001342,0.027368,4. Medio I,0.065155,0.072568
202202,202403,25,244988269.490000,0.001598,0.027368,4. Medio I,0.066753,0.072568
202202,202404,26,244988269.490000,0.001186,0.027368,4. Medio I,0.067939,0.072568
202202,202405,27,244988269.490000,0.001753,0.027368,4. Medio I,0.069692,0.072568
202202,202406,28,244988269.490000,0.001552,0.027368,4. Medio I,0.071244,0.072568
202202,202407,29,244988269.490000,0.000750,0.027368,4. Medio I,0.071994,0.072568
202202,202408,30,244988269.490000,0.000574,0.027368,4. Medio I,0.072568,0.072568
202202,202409,31,244988269.490000,0.000711,0.027368,4. Medio I,0.073279,0.072568
202202,202410,32,244988269.490000,0.000464,0.027368,4. Medio I,0.073743,0.072568
202202,202411,33,244988269.490000,0.000593,0.027368,4. Medio I,0.074336,0.072568
202202,202412,34,244988269.490000,0.000007,0.027368,4. Medio I,0.074343,0.072568
202202,202501,35,244988269.490000,0.000548,0.027368,4. Medio I,0.074891,0.072568
202202,202502,36,244988269.490000,0.000161,0.027368,4. Medio I,0.075052,0.072568
202202,202503,37,244988269.490000,0.000060,0.027368,4. Medio I,0.075112,0.072568
202202,202504,38,244988269.490000,-0.000031,0.027368,4. Medio I,0.075081,0.072568
202202,202505,39,244988269.490000,0.000362,0.027368,4. Medio I,0.075443,0.072568
202202,202506,40,244988269.490000,0.000285,0.027368,4. Medio I,0.075728,0.072568
202202,202507,41,244988269.490000,0.000301,0.027368,4. Medio I,0.076029,0.072568
202202,202508,42,244988269.490000,-0.000249,0.027368,4. Medio I,0.075780,0.072568
202202,202509,43,244988269.490000,0.000018,0.027368,4. Medio I,0.075798,0.072568
202202,202510,44,244988269.490000,0.000158,0.027368,4. Medio I,0.075956,0.072568
202203,202203,0,240760121.960000,0.010396,0.025991,4. Medio I,0.010396,0.068587
202203,202204,1,240760121.960000,-0.001294,0.025991,4. Medio I,0.009102,0.068587
202203,202205,2,240760121.960000,-0.000546,0.025991,4. Medio I,0.008556,0.068587
202203,202206,3,240760121.960000,0.000875,0.025991,4. Medio I,0.009431,0.068587
202203,202207,4,240760121.960000,0.001809,0.025991,4. Medio I,0.011240,0.068587
202203,202208,5,240760121.960000,0.002486,0.025991,4. Medio I,0.013726,0.068587
202203,202209,6,240760121.960000,0.001363,0.025991,4. Medio I,0.015089,0.068587
202203,202210,7,240760121.960000,0.003024,0.025991,4. Medio I,0.018113,0.068587
202203,202211,8,240760121.960000,0.003441,0.025991,4. Medio I,0.021554,0.068587
202203,202212,9,240760121.960000,0.003678,0.025991,4. Medio I,0.025232,0.068587
202203,202301,10,240760121.960000,0.002906,0.025991,4. Medio I,0.028138,0.068587
202203,202302,11,240760121.960000,0.002878,0.025991,4. Medio I,0.031016,0.068587
202203,202303,12,240760121.960000,0.003373,0.025991,4. Medio I,0.034389,0.068587
202203,202304,13,240760121.960000,0.003130,0.025991,4. Medio I,0.037519,0.068587
202203,202305,14,240760121.960000,0.002759,0.025991,4. Medio I,0.040278,0.068587
202203,202306,15,240760121.960000,0.003072,0.025991,4. Medio I,0.043350,0.068587
202203,202307,16,240760121.960000,0.002996,0.025991,4. Medio I,0.046346,0.068587
202203,202308,17,240760121.960000,0.002648,0.025991,4. Medio I,0.048994,0.068587
202203,202309,18,240760121.960000,0.001581,0.025991,4. Medio I,0.050575,0.068587
202203,202310,19,240760121.960000,0.003413,0.025991,4. Medio I,0.053988,0.068587
202203,202311,20,240760121.960000,0.000864,0.025991,4. Medio I,0.054852,0.068587
202203,202312,21,240760121.960000,0.002070,0.025991,4. Medio I,0.056922,0.068587
202203,202401,22,240760121.960000,0.002613,0.025991,4. Medio I,0.059535,0.068587
