cosecha,codmes,maduracion,saldo_inicial,provisionporc,pdponderado,rango_pd,provisionporcacum,acumulado30
202202,202202,0,78500.000000,0.010000,0.013603,6. Bajo I,0.010000,0.001431
202202,202203,1,78500.000000,-0.006178,0.013603,6. Bajo I,0.003822,0.001431
202202,202204,2,78500.000000,-0.000019,0.013603,6. Bajo I,0.003803,0.001431
202202,202205,3,78500.000000,-0.000047,0.013603,6. Bajo I,0.003756,0.001431
202202,202206,4,78500.000000,-0.000046,0.013603,6. Bajo I,0.003710,0.001431
202202,202207,5,78500.000000,-0.000048,0.013603,6. Bajo I,0.003662,0.001431
202202,202208,6,78500.000000,-0.000047,0.013603,6. Bajo I,0.003615,0.001431
202202,202209,7,78500.000000,-0.000048,0.013603,6. Bajo I,0.003567,0.001431
202202,202210,8,78500.000000,-0.000050,0.013603,6. Bajo I,0.003517,0.001431
202202,202211,9,78500.000000,-0.000049,0.013603,6. Bajo I,0.003468,0.001431
202202,202212,10,78500.000000,-0.000751,0.013603,6. Bajo I,0.002717,0.001431
202202,202301,11,78500.000000,-0.000055,0.013603,6. Bajo I,0.002662,0.001431
202202,202302,12,78500.000000,-0.000058,0.013603,6. Bajo I,0.002604,0.001431
202202,202303,13,78500.000000,-0.000062,0.013603,6. Bajo I,0.002542,0.001431
202202,202304,14,78500.000000,-0.000060,0.013603,6. Bajo I,0.002482,0.001431
202202,202305,15,78500.000000,-0.000061,0.013603,6. Bajo I,0.002421,0.001431
202202,202306,16,78500.000000,-0.000061,0.013603,6. Bajo I,0.002360,0.001431
202202,202307,17,78500.000000,-0.000062,0.013603,6. Bajo I,0.002298,0.001431
202202,202308,18,78500.000000,-0.000062,0.013603,6. Bajo I,0.002236,0.001431
202202,202309,19,78500.000000,-0.000063,0.013603,6. Bajo I,0.002173,0.001431
202202,202310,20,78500.000000,-0.000064,0.013603,6. Bajo I,0.002109,0.001431
202202,202311,21,78500.000000,-0.000064,0.013603,6. Bajo I,0.002045,0.001431
202202,202312,22,78500.000000,-0.000066,0.013603,6. Bajo I,0.001979,0.001431
202202,202401,23,78500.000000,-0.000066,0.013603,6. Bajo I,0.001913,0.001431
202202,202402,24,78500.000000,-0.000066,0.013603,6. Bajo I,0.001847,0.001431
202202,202403,25,78500.000000,-0.000068,0.013603,6. Bajo I,0.001779,0.001431
202202,202404,26,78500.000000,-0.000068,0.013603,6. Bajo I,0.001711,0.001431
202202,202405,27,78500.000000,-0.000069,0.013603,6. Bajo I,0.001642,0.001431
202202,202406,28,78500.000000,-0.000069,0.013603,6. Bajo I,0.001573,0.001431
202202,202407,29,78500.000000,-0.000071,0.013603,6. Bajo I,0.001502,0.001431
202202,202408,30,78500.000000,-0.000071,0.013603,6. Bajo I,0.001431,0.001431
202202,202409,31,78500.000000,-0.000072,0.013603,6. Bajo I,0.001359,0.001431
202202,202410,32,78500.000000,-0.000146,0.013603,6. Bajo I,0.001213,0.001431
202202,202411,33,78500.000000,0.000000,0.013603,6. Bajo I,0.001213,0.001431
202202,202412,34,78500.000000,-0.000075,0.013603,6. Bajo I,0.001138,0.001431
202202,202501,35,78500.000000,-0.000075,0.013603,6. Bajo I,0.001063,0.001431
202202,202502,36,78500.000000,-0.000076,0.013603,6. Bajo I,0.000987,0.001431
202202,202503,37,78500.000000,-0.000078,0.013603,6. Bajo I,0.000909,0.001431
202202,202504,38,78500.000000,-0.000077,0.013603,6. Bajo I,0.000832,0.001431
202202,202505,39,78500.000000,-0.000079,0.013603,6. Bajo I,0.000753,0.001431
202202,202506,40,78500.000000,-0.000752,0.013603,6. Bajo I,0.000001,0.001431
202203,202203,0,345915658.530000,0.010251,0.061542,3. Medio II,0.010251,0.154143
202203,202204,1,345915658.530000,-0.000667,0.061542,3. Medio II,0.009584,0.154143
202203,202205,2,345915658.530000,0.002816,0.061542,3. Medio II,0.012400,0.154143
202203,202206,3,345915658.530000,0.007933,0.061542,3. Medio II,0.020333,0.154143
202203,202207,4,345915658.530000,0.008896,0.061542,3. Medio II,0.029229,0.154143
202203,202208,5,345915658.530000,0.009745,0.061542,3. Medio II,0.038974,0.154143
202203,202209,6,345915658.530000,0.008866,0.061542,3. Medio II,0.047840,0.154143
202203,202210,7,345915658.530000,0.008270,0.061542,3. Medio II,0.056110,0.154143
202203,202211,8,345915658.530000,0.007947,0.061542,3. Medio II,0.064057,0.154143
202203,202212,9,345915658.530000,0.008865,0.061542,3. Medio II,0.072922,0.154143
202203,202301,10,345915658.530000,0.008643,0.061542,3. Medio II,0.081565,0.154143
202203,202302,11,345915658.530000,0.007162,0.061542,3. Medio II,0.088727,0.154143
202203,202303,12,345915658.530000,0.007580,0.061542,3. Medio II,0.096307,0.154143
202203,202304,13,345915658.530000,0.007561,0.061542,3. Medio II,0.103868,0.154143
202203,202305,14,345915658.530000,0.007582,0.061542,3. Medio II,0.111450,0.154143
202203,202306,15,345915658.530000,0.006432,0.061542,3. Medio II,0.117882,0.154143
202203,202307,16,345915658.530000,0.005797,0.061542,3. Medio II,0.123679,0.154143
202203,202308,17,345915658.530000,0.004126,0.061542,3. Medio II,0.127805,0.154143
202203,202309,18,345915658.530000,0.003130,0.061542,3. Medio II,0.130935,0.154143
202203,202310,19,345915658.530000,0.003429,0.061542,3. Medio II,0.134364,0.154143
202203,202311,20,345915658.530000,0.002191,0.061542,3. Medio II,0.136555,0.154143
202203,202312,21,345915658.530000,0.002722,0.061542,3. Medio II,0.139277,0.154143
202203,202401,22,345915658.530000,0.002780,0.061542,3. Medio II,0.142057,0.154143
202203,202402,23,345915658.530000,0.001633,0.061542,3. Medio II,0.143690,0.154143
202203,202403,24,345915658.530000,0.002431,0.061542,3. Medio II,0.146121,0.154143
202203,202404,25,345915658.530000,0.001895,0.061542,3. Medio II,0.148016,0.154143
202203,202405,26,345915658.530000,0.001690,0.061542,3. Medio II,0.149706,0.154143
202203,202406,27,345915658.530000,0.002035,0.061542,3. Medio II,0.151741,0.154143
202203,202407,28,345915658.530000,0.001271,0.061542,3. Medio II,0.153012,0.154143
202203,202408,29,345915658.530000,0.000779,0.061542,3. Medio II,0.153791,0.154143
202203,202409,30,345915658.530000,0.000352,0.061542,3. Medio II,0.154143,0.154143
202203,202410,31,345915658.530000,0.000577,0.061542,3. Medio II,0.154720,0.154143
202203,202411,32,345915658.530000,0.000596,0.061542,3. Medio II,0.155316,0.154143
202203,202412,33,345915658.530000,0.000372,0.061542,3. Medio II,0.155688,0.154143
202203,202501,34,345915658.530000,0.000536,0.061542,3. Medio II,0.156224,0.154143
202203,202502,35,345915658.530000,0.000557,0.061542,3. Medio II,0.156781,0.154143
202203,202503,36,345915658.530000,0.000623,0.061542,3. Medio II,0.157404,0.154143
202203,202504,37,345915658.530000,0.000520,0.061542,3. Medio II,0.157924,0.154143
202203,202505,38,345915658.530000,0.000472,0.061542,3. Medio II,0.158396,0.154143
202203,202506,39,345915658.530000,0.000458,0.061542,3. Medio II,0.158854,0.154143
202203,202507,40,345915658.530000,0.000101,0.061542,3. Medio II,0.158955,0.154143
202203,202508,41,345915658.530000,0.000389,0.061542,3. Medio II,0.159344,0.154143
202203,202509,42,345915658.530000,0.000178,0.061542,3. Medio II,0.159522,0.154143
202203,202510,43,345915658.530000,0.000289,0.061542,3. Medio II,0.159811,0.154143
202204,202204,0,282924380.410000,0.010059,0.065835,3. Medio II,0.010059,0.164372
202204,202205,1,282924380.410000,-0.000540,0.065835,3. Medio II,0.009519,0.164372
202204,202206,2,282924380.410000,0.003038,0.065835,3. Medio II,0.012557,0.164372
202204,202207,3,282924380.410000,0.009757,0.065835,3. Medio II,0.022314,0.164372
202204,202208,4,282924380.410000,0.010453,0.065835,3. Medio II,0.032767,0.164372
202204,202209,5,282924380.410000,0.008935,0.065835,3. Medio II,0.041702,0.164372
202204,202210,6,282924380.410000,0.012454,0.065835,3. Medio II,0.054156,0.164372
202204,202211,7,282924380.410000,0.009494,0.065835,3. Medio II,0.063650,0.164372
202204,202212,8,282924380.410000,0.007818,0.065835,3. Medio II,0.071468,0.164372
202204,202301,9,282924380.410000,0.008671,0.065835,3. Medio II,0.080139,0.164372
202204,202302,10,282924380.410000,0.007258,0.065835,3. Medio II,0.087397,0.164372
202204,202303,11,282924380.410000,0.008838,0.065835,3. Medio II,0.096235,0.164372
202204,202304,12,282924380.410000,0.007609,0.065835,3. Medio II,0.103844,0.164372
202204,202305,13,282924380.410000,0.008409,0.065835,3. Medio II,0.112253,0.164372
202204,202306,14,282924380.410000,0.008817,0.065835,3. Medio II,0.121070,0.164372
202204,202307,15,282924380.410000,0.006814,0.065835,3. Medio II,0.127884,0.164372
202204,202308,16,282924380.410000,0.004352,0.065835,3. Medio II,0.132236,0.164372
202204,202309,17,282924380.410000,0.003374,0.065835,3. Medio II,0.135610,0.164372
202204,202310,18,282924380.410000,0.004236,0.065835,3. Medio II,0.139846,0.164372
202204,202311,19,282924380.410000,0.002854,0.065835,3. Medio II,0.142700,0.164372
202204,202312,20,282924380.410000,0.003651,0.065835,3. Medio II,0.146351,0.164372
202204,202401,21,282924380.410000,0.003320,0.065835,3. Medio II,0.149671,0.164372
202204,202402,22,282924380.410000,0.001881,0.065835,3. Medio II,0.151552,0.164372
202204,202403,23,282924380.410000,0.003590,0.065835,3. Medio II,0.155142,0.164372
202204,202404,24,282924380.410000,0.001696,0.065835,3. Medio II,0.156838,0.164372
202204,202405,25,282924380.410000,0.002280,0.065835,3. Medio II,0.159118,0.164372
202204,202406,26,282924380.410000,0.001055,0.065835,3. Medio II,0.160173,0.164372
202204,202407,27,282924380.410000,0.001770,0.065835,3. Medio II,0.161943,0.164372
202204,202408,28,282924380.410000,0.000780,0.065835,3. Medio II,0.162723,0.164372
