cosecha,codmes,maduracion,saldo_inicial,provisionporc,pdponderado,rango_pd,provisionporcacum,acumulado30
202201,202201,0,65000.000000,0.010000,0.011182,6. Bajo I,0.010000,
202201,202202,1,65000.000000,-0.000118,0.011182,6. Bajo I,0.009882,
202201,202203,2,65000.000000,-0.000119,0.011182,6. Bajo I,0.009763,
202201,202204,3,65000.000000,-0.000183,0.011182,6. Bajo I,0.009580,
202201,202205,4,65000.000000,-0.000122,0.011182,6. Bajo I,0.009458,
202201,202206,5,65000.000000,-0.000120,0.011182,6. Bajo I,0.009338,
202201,202207,6,65000.000000,-0.000076,0.011182,6. Bajo I,0.009262,
202201,202208,7,65000.000000,-0.000126,0.011182,6. Bajo I,0.009136,
202201,202209,8,65000.000000,-0.000130,0.011182,6. Bajo I,0.009006,
202201,202210,9,65000.000000,-0.000129,0.011182,6. Bajo I,0.008877,
202201,202211,10,65000.000000,-0.000183,0.011182,6. Bajo I,0.008694,
202201,202212,11,65000.000000,-0.000083,0.011182,6. Bajo I,0.008611,
202201,202301,12,65000.000000,-0.000133,0.011182,6. Bajo I,0.008478,
202201,202302,13,65000.000000,-0.000143,0.011182,6. Bajo I,0.008335,
202201,202303,14,65000.000000,-0.000136,0.011182,6. Bajo I,0.008199,
202201,202304,15,65000.000000,-0.000141,0.011182,6. Bajo I,0.008058,
202201,202305,16,65000.000000,-0.000139,0.011182,6. Bajo I,0.007919,
202201,202306,17,65000.000000,-0.000143,0.011182,6. Bajo I,0.007776,
202201,202307,18,65000.000000,-0.000142,0.011182,6. Bajo I,0.007634,
202201,202308,19,65000.000000,-0.000144,0.011182,6. Bajo I,0.007490,
202201,202309,20,65000.000000,0.000000,0.011182,6. Bajo I,0.007490,
202201,202310,21,65000.000000,-0.007488,0.011182,6. Bajo I,0.000002,
202202,202202,0,55867541.440000,0.010001,0.013380,6. Bajo I,0.010001,0.061502
202202,202203,1,55867541.440000,-0.000046,0.013380,6. Bajo I,0.009955,0.061502
202202,202204,2,55867541.440000,0.000795,0.013380,6. Bajo I,0.010750,0.061502
202202,202205,3,55867541.440000,0.002275,0.013380,6. Bajo I,0.013025,0.061502
202202,202206,4,55867541.440000,0.004771,0.013380,6. Bajo I,0.017796,0.061502
202202,202207,5,55867541.440000,-0.000175,0.013380,6. Bajo I,0.017621,0.061502
202202,202208,6,55867541.440000,0.000096,0.013380,6. Bajo I,0.017717,0.061502
202202,202209,7,55867541.440000,-0.002857,0.013380,6. Bajo I,0.014860,0.061502
202202,202210,8,55867541.440000,0.005509,0.013380,6. Bajo I,0.020369,0.061502
202202,202211,9,55867541.440000,-0.001786,0.013380,6. Bajo I,0.018583,0.061502
202202,202212,10,55867541.440000,0.005002,0.013380,6. Bajo I,0.023585,0.061502
202202,202301,11,55867541.440000,0.004607,0.013380,6. Bajo I,0.028192,0.061502
202202,202302,12,55867541.440000,-0.000539,0.013380,6. Bajo I,0.027653,0.061502
202202,202303,13,55867541.440000,0.003088,0.013380,6. Bajo I,0.030741,0.061502
202202,202304,14,55867541.440000,0.000661,0.013380,6. Bajo I,0.031402,0.061502
202202,202305,15,55867541.440000,0.001768,0.013380,6. Bajo I,0.033170,0.061502
202202,202306,16,55867541.440000,0.004171,0.013380,6. Bajo I,0.037341,0.061502
202202,202307,17,55867541.440000,0.005930,0.013380,6. Bajo I,0.043271,0.061502
202202,202308,18,55867541.440000,0.004826,0.013380,6. Bajo I,0.048097,0.061502
202202,202309,19,55867541.440000,-0.000271,0.013380,6. Bajo I,0.047826,0.061502
202202,202310,20,55867541.440000,0.000398,0.013380,6. Bajo I,0.048224,0.061502
202202,202311,21,55867541.440000,0.001544,0.013380,6. Bajo I,0.049768,0.061502
202202,202312,22,55867541.440000,-0.001184,0.013380,6. Bajo I,0.048584,0.061502
202202,202401,23,55867541.440000,0.003065,0.013380,6. Bajo I,0.051649,0.061502
202202,202402,24,55867541.440000,0.002209,0.013380,6. Bajo I,0.053858,0.061502
202202,202403,25,55867541.440000,0.000553,0.013380,6. Bajo I,0.054411,0.061502
202202,202404,26,55867541.440000,0.004620,0.013380,6. Bajo I,0.059031,0.061502
202202,202405,27,55867541.440000,0.001686,0.013380,6. Bajo I,0.060717,0.061502
202202,202406,28,55867541.440000,0.005134,0.013380,6. Bajo I,0.065851,0.061502
202202,202407,29,55867541.440000,-0.004402,0.013380,6. Bajo I,0.061449,0.061502
202202,202408,30,55867541.440000,0.000053,0.013380,6. Bajo I,0.061502,0.061502
202202,202409,31,55867541.440000,0.000454,0.013380,6. Bajo I,0.061956,0.061502
202202,202410,32,55867541.440000,0.000868,0.013380,6. Bajo I,0.062824,0.061502
202202,202411,33,55867541.440000,0.000372,0.013380,6. Bajo I,0.063196,0.061502
202202,202412,34,55867541.440000,0.000200,0.013380,6. Bajo I,0.063396,0.061502
202202,202501,35,55867541.440000,0.001031,0.013380,6. Bajo I,0.064427,0.061502
202202,202502,36,55867541.440000,-0.000549,0.013380,6. Bajo I,0.063878,0.061502
202202,202503,37,55867541.440000,-0.000913,0.013380,6. Bajo I,0.062965,0.061502
202202,202504,38,55867541.440000,0.003332,0.013380,6. Bajo I,0.066297,0.061502
202202,202505,39,55867541.440000,-0.002608,0.013380,6. Bajo I,0.063689,0.061502
202202,202506,40,55867541.440000,0.001506,0.013380,6. Bajo I,0.065195,0.061502
202202,202507,41,55867541.440000,-0.001612,0.013380,6. Bajo I,0.063583,0.061502
202202,202508,42,55867541.440000,0.000299,0.013380,6. Bajo I,0.063882,0.061502
202202,202509,43,55867541.440000,-0.003014,0.013380,6. Bajo I,0.060868,0.061502
202202,202510,44,55867541.440000,0.000247,0.013380,6. Bajo I,0.061115,0.061502
202203,202203,0,87909909.790000,0.010000,0.009934,6. Bajo I,0.010000,0.061016
202203,202204,1,87909909.790000,-0.000592,0.009934,6. Bajo I,0.009408,0.061016
202203,202205,2,87909909.790000,0.000001,0.009934,6. Bajo I,0.009409,0.061016
202203,202206,3,87909909.790000,0.000366,0.009934,6. Bajo I,0.009775,0.061016
202203,202207,4,87909909.790000,0.000653,0.009934,6. Bajo I,0.010428,0.061016
202203,202208,5,87909909.790000,0.000745,0.009934,6. Bajo I,0.011173,0.061016
202203,202209,6,87909909.790000,0.001749,0.009934,6. Bajo I,0.012922,0.061016
202203,202210,7,87909909.790000,0.001109,0.009934,6. Bajo I,0.014031,0.061016
202203,202211,8,87909909.790000,0.003123,0.009934,6. Bajo I,0.017154,0.061016
202203,202212,9,87909909.790000,0.002758,0.009934,6. Bajo I,0.019912,0.061016
