CODMES_COSECHA,sum_mtodeuda,sum_mtogastoprovsol,CTDMESMADURACION,pdponderado
202505,473091108.440000,-115424.6318,2,0.019455
202505,657377084.080000,6581680.2016,0,0.019455
202505,429906085.330000,734569.1985,3,0.019455
202505,534424678.200000,-1101431.3192,1,0.019455
202505,393550953.890000,952539.7499,4,0.019455
202509,791027717.560000,7965456.2956,0,0.020786
202501,431095858.610000,1351820.0568,5,0.020711
202501,549341201.710000,-125101.3006,2,0.020711
202501,502829922.930000,731805.7603,3,0.020711
202501,626243282.590000,-915280.4648,1,0.020711
202501,723059932.750000,7270167.7804,0,0.020711
202501,346160344.160000,1060720.9949,8,0.020711
202501,401175542.580000,1229242.8548,6,0.020711
202501,466483219.750000,672187.4225,4,0.020711
202501,372622810.560000,1474041.5094,7,0.020711
202508,579488222.510000,-1147059.9298,1,0.022046
202407,195690741.110000,604893.2641,11,0.023694
202407,307462730.230000,1009383.2318,5,0.023694
202407,213499108.120000,592545.7225,10,0.023694
202407,180616722.550000,394036.2634,12,0.023694
202407,267251309.430000,831214.6845,7,0.023694
202407,286280737.400000,1309916.5594,6,0.023694
202407,245107349.950000,778631.1164,8,0.023694
202407,331120262.210000,655359.5247,4,0.023694
202508,700128894.560000,7128501.3405,0,0.022046
202407,451778082.310000,-726408.2621,1,0.023694
202407,169528447.390000,645138.8606,13,0.023694
202407,396547672.920000,-162828.5317,2,0.023694
202407,527914811.720000,5342473.3020,0,0.023694
202407,360595820.590000,439549.8941,3,0.023694
202407,157979829.500000,506084.6594,14,0.023694
202407,228493870.260000,871146.2416,9,0.023694
202506,576531299.050000,952594.1107,3,0.020243
202506,634054694.260000,191786.1821,2,0.020243
202506,823845167.620000,8294256.1962,0,0.020243
202506,701345049.700000,-1105482.0276,1,0.020243
202412,611476334.710000,6162378.9912,0,0.022025
202412,338119694.290000,1342597.1121,6,0.022025
202412,423025777.260000,510079.5299,3,0.022025
202412,363606321.210000,1209474.0728,5,0.022025
202412,311771384.710000,1210735.3758,7,0.022025
202412,390291011.670000,744976.5600,4,0.022025
202412,470033293.250000,-132139.6559,2,0.022025
202412,519733563.110000,-868004.1965,1,0.022025
202412,272386232.790000,751457.5138,9,0.022025
202412,292381600.430000,1247912.9152,8,0.022025
202504,514108272.540000,-1039661.4971,1,0.023864
202406,192556282.440000,1141525.2075,12,0.029286
