CODMES_COSECHA,sum_mtodeuda,sum_mtogastoprovsol,CTDMESMADURACION,pdponderado
202505,473091108.440000,-115424.6318,2,0.019455
202505,657377084.080000,6581680.2016,0,0.019455
202505,429906085.330000,734569.1985,3,0.019455
202505,534424678.200000,-1101431.3192,1,0.019455
202505,393550953.890000,952539.7499,4,0.019455
202309,130929603.810000,467501.7874,17,
202309,431173638.030000,-467978.4568,1,
202309,487674989.160000,4919713.7189,0,
202309,391763947.230000,272245.4613,2,
202309,233748358.520000,1833271.8100,9,
202309,184789035.550000,908669.7851,12,
202309,312812401.230000,1575906.4948,5,
202309,358701886.030000,1041612.7510,3,
202309,91043155.550000,471757.1830,22,
202309,288178703.730000,2206469.7028,6,
202309,200498465.610000,1499630.2207,11,
202309,122706645.500000,876257.9409,18,
202309,98531924.400000,611121.3974,21,
202309,216195111.960000,1271958.5336,10,
202309,266353729.330000,1736022.2955,7,
202309,150929284.050000,759905.3913,15,
202309,334992173.640000,1554142.3263,4,
202309,247213870.630000,1775578.6363,8,
202309,84697817.920000,407781.6925,23,
202309,171381697.470000,866399.4043,13,
202309,161200625.610000,776890.1500,14,
202309,105648452.400000,327198.1770,20,
202309,78657182.630000,429384.2230,24,
202309,113810678.820000,636477.9944,19,
202309,140312860.800000,853751.7768,16,
202211,447336755.990000,6553408.7984,6,
202211,188047676.220000,1514569.4458,20,
202211,68084718.910000,336265.3850,34,
202211,711193219.460000,7133192.1000,0,
202211,476333380.870000,7390792.5628,5,
202211,641995299.740000,-455396.1290,1,
202211,201737619.430000,2079919.7004,19,
202211,370013449.470000,4417519.2173,9,
202211,392520737.670000,6230304.8128,8,
202211,501594496.510000,6552521.1144,4,
202211,541757687.000000,4115135.6285,3,
202211,123269535.580000,892393.3269,26,
202211,141109487.450000,668925.5109,24,
202211,291932288.890000,2780889.5528,13,
202211,73604717.240000,465479.2139,33,
202211,243217944.220000,2559328.2733,16,
202211,99866021.680000,572980.5392,29,
202211,579621396.170000,1497236.1678,2,
202211,176621412.250000,1527669.0382,21,
202211,213273982.590000,2150167.7594,18,
202211,92492295.950000,577301.3148,30,
202211,258472051.140000,2598025.0810,15,
202211,348782758.150000,3273758.2700,10,
202509,791027717.560000,7965456.2956,0,0.020786
202211,131391419.200000,890491.2084,25,
202211,227840967.920000,2449748.9563,17,
202211,85622899.930000,777966.1305,31,
