CODMES_COSECHA,segmento,maduracion,saldo,provision,pdponderado,rango_pd
202401,03. Consumo A,1,94882720.370000,-67671.1018,0.040372,4 Medio I
202401,03. Consumo A,8,50029560.220000,298970.4432,0.040372,4 Medio I
202401,02. Bex,18,44279144.210000,287269.0053,0.040372,4 Medio I
202401,03. Consumo A,6,60582977.940000,670788.4800,0.040372,4 Medio I
202401,07. Pyme,8,1110135.120000,15559.7299,0.040372,4 Medio I
202401,03. Consumo A,12,36217669.690000,346982.0524,0.040372,4 Medio I
202401,04. Consumo B,3,13082939.790000,90282.5539,0.040372,4 Medio I
202401,03. Consumo A,3,76293898.350000,415321.5922,0.040372,4 Medio I
202401,03. Consumo A,16,26567264.420000,242091.3271,0.040372,4 Medio I
202401,09. Gremio,11,11081383.700000,35528.5548,0.040372,4 Medio I
202401,03. Consumo A,2,83591555.180000,115056.3652,0.040372,4 Medio I
202401,04. Consumo B,8,7582483.690000,42893.0663,0.040372,4 Medio I
202401,02. Bex,8,90342011.950000,260549.4896,0.040372,4 Medio I
202401,02. Bex,3,135837323.000000,546222.7830,0.040372,4 Medio I
202401,02. Bex,4,125893008.710000,583645.7879,0.040372,4 Medio I
202401,04. Consumo B,1,15980773.600000,-9737.8846,0.040372,4 Medio I
202401,03. Consumo A,4,70564614.520000,575337.2511,0.040372,4 Medio I
202401,02. Bex,10,78925375.550000,362792.4801,0.040372,4 Medio I
202401,09. Gremio,13,10101431.190000,60500.3296,0.040372,4 Medio I
202401,03. Consumo A,0,105167498.330000,1054404.0645,0.040372,4 Medio I
202401,03. Consumo A,5,66197503.090000,854838.3453,0.040372,4 Medio I
202401,04. Consumo B,11,5360274.800000,27008.0727,0.040372,4 Medio I
202401,09. Gremio,1,18977265.360000,-36465.7379,0.040372,4 Medio I
202401,03. Consumo A,9,45597731.460000,285459.6320,0.040372,4 Medio I
202401,02. Bex,13,62583778.490000,251363.5445,0.040372,4 Medio I
202401,02. Bex,15,54634294.930000,271636.8535,0.040372,4 Medio I
202401,09. Gremio,12,10503284.890000,22546.9792,0.040372,4 Medio I
202401,03. Consumo A,10,42348627.710000,181311.4040,0.040372,4 Medio I
202401,04. Consumo B,6,9578751.500000,95153.7043,0.040372,4 Medio I
202401,04. Consumo B,5,10774921.100000,114527.0701,0.040372,4 Medio I
202401,02. Bex,2,150856815.290000,73529.0005,0.040372,4 Medio I
202401,05. Consumo C,2,2085258.430000,14336.2149,0.040372,4 Medio I
202401,02. Bex,7,99007365.420000,838660.3696,0.040372,4 Medio I
202401,07. Pyme,19,454557.890000,12522.2964,0.040372,4 Medio I
202401,02. Bex,1,173836329.360000,-312162.0466,0.040372,4 Medio I
202401,09. Gremio,14,9281884.230000,-907.0810,0.040372,4 Medio I
202401,05. Consumo C,0,2392179.590000,24021.7959,0.040372,4 Medio I
202401,04. Consumo B,7,8642148.850000,108910.0567,0.040372,4 Medio I
202401,09. Gremio,15,8584201.620000,74916.5570,0.040372,4 Medio I
202401,02. Bex,5,117071335.680000,1133626.0881,0.040372,4 Medio I
202401,02. Bex,6,108128910.930000,760186.5635,0.040372,4 Medio I
202401,03. Consumo A,19,21186663.990000,176150.5704,0.040372,4 Medio I
202401,05. Consumo C,4,1744761.960000,42739.5960,0.040372,4 Medio I
202401,02. Bex,0,208164963.410000,2081837.3341,0.040372,4 Medio I
202401,01. Enalta/Privada,1,103275297.390000,-176673.7896,0.040372,4 Medio I
202401,02. Bex,20,38366184.140000,269251.6194,0.040372,4 Medio I
202401,03. Consumo A,7,54977807.450000,771987.4905,0.040372,4 Medio I
202401,02. Bex,11,73409793.170000,332084.5805,0.040372,4 Medio I
202401,03. Consumo A,17,24530270.810000,133379.1154,0.040372,4 Medio I
202401,03. Consumo A,13,33713681.560000,103955.0523,0.040372,4 Medio I
202401,03. Consumo A,11,39128816.220000,213841.8188,0.040372,4 Medio I
202401,02. Bex,12,67759877.460000,431361.0209,0.040372,4 Medio I
202401,05. Consumo C,11,532852.510000,8460.9113,0.040372,4 Medio I
202401,04. Consumo B,0,17941933.960000,180212.4596,0.040372,4 Medio I
202401,04. Consumo B,4,11749505.620000,140242.7209,0.040372,4 Medio I
202401,03. Consumo A,15,28589567.330000,203844.7832,0.040372,4 Medio I
202401,02. Bex,14,58511340.470000,315120.2579,0.040372,4 Medio I
202401,01. Enalta/Privada,6,55546001.330000,62843.9782,0.040372,4 Medio I
202401,02. Bex,9,84380020.530000,444308.5062,0.040372,4 Medio I
202401,01. Enalta/Privada,3,77817909.120000,-94137.0746,0.040372,4 Medio I
202401,04. Consumo B,12,4646590.050000,76057.3775,0.040372,4 Medio I
202401,01. Enalta/Privada,10,39566254.620000,55230.3629,0.040372,4 Medio I
202401,04. Consumo B,9,6827943.750000,53939.6298,0.040372,4 Medio I
202401,01. Enalta/Privada,12,33713778.240000,24179.5977,0.040372,4 Medio I
202401,09. Gremio,8,12692905.950000,60939.5563,0.040372,4 Medio I
202401,02. Bex,16,50549731.230000,367855.2631,0.040372,4 Medio I
202401,04. Consumo B,18,2728304.830000,14395.0386,0.040372,4 Medio I
202401,02. Bex,19,41056021.530000,247238.4082,0.040372,4 Medio I
202401,09. Gremio,7,13402904.250000,85393.1942,0.040372,4 Medio I
202401,03. Consumo A,14,31034673.380000,183377.3541,0.040372,4 Medio I
202401,01. Enalta/Privada,4,66839333.880000,-63893.6432,0.040372,4 Medio I
202401,07. Pyme,13,749028.300000,-926.9473,0.040372,4 Medio I
202401,01. Enalta/Privada,13,31645521.180000,43136.6228,0.040372,4 Medio I
202401,04. Consumo B,2,14394487.420000,31585.3452,0.040372,4 Medio I
202401,01. Enalta/Privada,17,24333602.340000,-113734.4032,0.040372,4 Medio I
202401,01. Enalta/Privada,2,89920298.880000,-122084.5607,0.040372,4 Medio I
202401,01. Enalta/Privada,0,121156721.040000,1216436.3304,0.040372,4 Medio I
202401,09. Gremio,19,6880753.800000,25412.9706,0.040372,4 Medio I
202401,05. Consumo C,5,1587276.830000,40374.4015,0.040372,4 Medio I
202401,09. Gremio,6,14068974.060000,42966.3151,0.040372,4 Medio I
202401,05. Consumo C,12,450665.360000,14849.8093,0.040372,4 Medio I
202401,04. Consumo B,13,4111107.360000,39490.4153,0.040372,4 Medio I
202401,04. Consumo B,10,6079232.920000,54003.6477,0.040372,4 Medio I
202401,09. Gremio,5,14963263.820000,96615.0789,0.040372,4 Medio I
202401,01. Enalta/Privada,20,18737428.500000,24244.9211,0.040372,4 Medio I
202401,07. Pyme,14,696367.540000,13991.5927,0.040372,4 Medio I
202401,09. Gremio,9,12043873.540000,59186.2814,0.040372,4 Medio I
202401,09. Gremio,4,15461603.860000,41580.2471,0.040372,4 Medio I
202401,09. Gremio,2,17384340.660000,-5747.9548,0.040372,4 Medio I
202401,09. Gremio,0,19657819.730000,247351.1773,0.040372,4 Medio I
202401,03. Consumo A,20,19374417.170000,23542.7167,0.040372,4 Medio I
202401,05. Consumo C,3,1904033.620000,33017.8907,0.040372,4 Medio I
202401,03. Consumo A,18,23038612.770000,173609.4233,0.040372,4 Medio I
202401,05. Consumo C,10,661402.340000,13222.0968,0.040372,4 Medio I
202401,04. Consumo B,15,3540020.330000,37114.1509,0.040372,4 Medio I
202401,07. Pyme,20,398340.830000,-208.4769,0.040372,4 Medio I
202401,05. Consumo C,17,251354.860000,3620.2981,0.040372,4 Medio I
202401,07. Pyme,3,1914965.650000,-415.2916,0.040372,4 Medio I
202401,07. Pyme,17,505039.500000,-257.0309,0.040372,4 Medio I
202401,09. Gremio,3,16095543.450000,-1185.7842,0.040372,4 Medio I
202401,07. Pyme,12,810860.440000,1981.6460,0.040372,4 Medio I
202401,09. Gremio,10,11569280.340000,7824.5563,0.040372,4 Medio I
202401,09. Gremio,18,7362703.160000,10093.2840,0.040372,4 Medio I
202401,05. Consumo C,9,767155.570000,12038.6719,0.040372,4 Medio I
202401,01. Enalta/Privada,14,29619408.670000,84220.5322,0.040372,4 Medio I
202401,04. Consumo B,17,2938510.290000,9187.2834,0.040372,4 Medio I
202401,07. Pyme,11,883811.650000,8008.5961,0.040372,4 Medio I
202401,07. Pyme,1,2268294.710000,-1934.1688,0.040372,4 Medio I
202401,05. Consumo C,7,1106228.530000,16536.2842,0.040372,4 Medio I
202401,05. Consumo C,1,2245294.440000,-194.5859,0.040372,4 Medio I
202401,04. Consumo B,20,2439603.250000,20639.0387,0.040372,4 Medio I
202401,02. Bex,17,47021016.150000,195896.2558,0.040372,4 Medio I
202401,05. Consumo C,8,977342.160000,44015.9629,0.040372,4 Medio I
202401,01. Enalta/Privada,8,46087952.340000,125898.3801,0.040372,4 Medio I
202401,01. Enalta/Privada,16,25658767.950000,-128937.9842,0.040372,4 Medio I
202401,07. Pyme,10,934216.160000,1444.6278,0.040372,4 Medio I
202401,05. Consumo C,6,1350223.450000,72744.8515,0.040372,4 Medio I
202401,07. Pyme,0,2467758.970000,24677.5897,0.040372,4 Medio I
202401,05. Consumo C,16,277976.000000,1921.6251,0.040372,4 Medio I
202401,07. Pyme,16,613482.520000,-1895.2968,0.040372,4 Medio I
202401,05. Consumo C,18,210516.080000,-1071.0972,0.040372,4 Medio I
202401,04. Consumo B,14,3881155.550000,59446.4220,0.040372,4 Medio I
202401,09. Gremio,20,6456616.170000,24299.7679,0.040372,4 Medio I
202401,01. Enalta/Privada,18,22334371.980000,39246.7952,0.040372,4 Medio I
202401,09. Gremio,16,8227355.330000,13854.2219,0.040372,4 Medio I
202401,05. Consumo C,13,391334.200000,23465.3427,0.040372,4 Medio I
202401,01. Enalta/Privada,15,27504225.070000,193992.0240,0.040372,4 Medio I
202401,04. Consumo B,16,3254428.040000,-426.7881,0.040372,4 Medio I
202401,05. Consumo C,15,331570.810000,18873.0030,0.040372,4 Medio I
202401,01. Enalta/Privada,5,60789263.290000,-17268.4236,0.040372,4 Medio I
202401,07. Pyme,7,1269102.220000,64187.3419,0.040372,4 Medio I
202401,07. Pyme,9,987091.060000,-2636.5382,0.040372,4 Medio I
202401,07. Pyme,5,1487211.180000,40136.1734,0.040372,4 Medio I
202401,01. Enalta/Privada,9,42115695.500000,-57461.4106,0.040372,4 Medio I
202401,05. Consumo C,14,349154.650000,4340.0983,0.040372,4 Medio I
202401,04. Consumo B,19,2567240.460000,32791.2539,0.040372,4 Medio I
202401,07. Pyme,4,1600888.660000,6112.2399,0.040372,4 Medio I
202401,01. Enalta/Privada,11,37412854.300000,132028.8530,0.040372,4 Medio I
202401,07. Pyme,2,2046404.670000,-1137.0644,0.040372,4 Medio I
202401,05. Consumo C,20,182853.930000,92.6931,0.040372,4 Medio I
202401,01. Enalta/Privada,7,50258777.440000,87995.0551,0.040372,4 Medio I
202401,05. Consumo C,19,199235.310000,801.9996,0.040372,4 Medio I
202401,09. Gremio,17,7744896.800000,1411.7370,0.040372,4 Medio I
202401,01. Enalta/Privada,19,20322533.390000,77132.3996,0.040372,4 Medio I
202401,07. Pyme,18,472916.030000,-345.7392,0.040372,4 Medio I
202401,07. Pyme,15,655376.370000,1465.6257,0.040372,4 Medio I
202401,07. Pyme,6,1349693.730000,65827.3974,0.040372,4 Medio I
202401,08. No Banco,0,2369346.280000,23693.4628,0.040372,4 Medio I
