cosecha;codmes;maduracion;saldo_inicial;provisionporc;pdponderado;rango_pd;porcentajeacum;REAL;acumulado30;PRIMERA PARTE;SEGUNDA PARTE;TERCERA;PROYECTADO
202201;202201;0;626454521.52;0.01;0.04;4. Medio I;0.01;6773226.29;0.10;0.01;0.01;0.01;6264545.22
202201;202202;1;626454521.52;0.00;0.04;4. Medio I;0.01;5871758.23;0.10;0.01;0.01;0.01;5638090.69
202201;202203;2;626454521.52;0.00;0.04;4. Medio I;0.01;6822716.19;0.10;0.01;0.01;0.01;6247538.07
202201;202204;3;626454521.52;0.00;0.04;4. Medio I;0.02;9859767.71;0.10;0.01;0.01;0.01;7913436.19
202201;202205;4;626454521.52;0.01;0.04;4. Medio I;0.02;13247633.77;0.10;0.02;0.02;0.02;9516613.49
202201;202206;5;626454521.52;0.01;0.04;4. Medio I;0.03;17275736.34;0.10;0.02;0.02;0.02;11057069.97
202201;202207;6;626454521.52;0.01;0.04;4. Medio I;0.03;21815652.26;0.10;0.02;0.02;0.02;12534805.62
202201;202208;7;626454521.52;0.00;0.04;4. Medio I;0.04;24942913.23;0.10;0.02;0.02;0.02;13949820.46
202201;202209;8;626454521.52;0.00;0.04;4. Medio I;0.04;27325946.23;0.10;0.02;0.02;0.02;15302114.47
202201;202210;9;626454521.52;0.00;0.04;4. Medio I;0.05;29992763.13;0.10;0.03;0.03;0.03;16591687.67
202201;202211;10;626454521.52;0.00;0.04;4. Medio I;0.05;32504845.76;0.10;0.03;0.03;0.03;17818540.04
202201;202212;11;626454521.52;0.00;0.04;4. Medio I;0.06;34456251.59;0.10;0.03;0.03;0.03;18982671.59
202201;202301;12;626454521.52;0.00;0.04;4. Medio I;0.06;36984622.04;0.10;0.03;0.03;0.03;20084082.32
202201;202302;13;626454521.52;0.00;0.04;4. Medio I;0.06;38992408.78;0.10;0.03;0.03;0.03;21122772.23
202201;202303;14;626454521.52;0.01;0.04;4. Medio I;0.07;42178556.48;0.10;0.04;0.04;0.04;22098741.32
202201;202304;15;626454521.52;0.00;0.04;4. Medio I;0.07;44814677.11;0.10;0.04;0.04;0.04;23011989.58
202201;202305;16;626454521.52;0.00;0.04;4. Medio I;0.08;47116271.02;0.10;0.04;0.04;0.04;23862517.03
202201;202306;17;626454521.52;0.00;0.04;4. Medio I;0.08;49145983.67;0.10;0.04;0.04;0.04;27126417.96
202201;202307;18;626454521.52;0.00;0.04;4. Medio I;0.08;51103027.59;0.10;0.04;0.04;0.04;27672746.79
202201;202308;19;626454521.52;0.00;0.04;4. Medio I;0.08;52239416.10;0.10;0.04;0.04;0.04;28176156.66
202201;202309;20;626454521.52;0.00;0.04;4. Medio I;0.09;53635783.22;0.10;0.04;0.05;0.05;28642902.51
202201;202310;21;626454521.52;0.00;0.04;4. Medio I;0.09;55111083.62;0.10;0.04;0.05;0.05;29077964.27
