CODMES_COSECHA,CODMES_PORTAFOLIO,CTDMESMADURACION,mtodeuda_inicial,mtodeuda,porcdeuda,pdcalibrado
202402,202407,5,559297614.490000,331214581.760000,0.592197,0.036526
202402,202406,4,559297614.490000,361442269.630000,0.646243,0.036526
202402,202506,16,559297614.490000,137612281.390000,0.246045,0.036526
202402,202403,1,559297614.490000,484142072.800000,0.865625,0.036526
202402,202411,9,559297614.490000,236956625.600000,0.423668,0.036526
202402,202410,8,559297614.490000,254907962.650000,0.455764,0.036526
202402,202510,20,559297614.490000,101026743.440000,0.180631,0.036526
202402,202502,12,559297614.490000,184969246.850000,0.330717,0.036526
202402,202404,2,559297614.490000,426319098.790000,0.762240,0.036526
202402,202405,3,559297614.490000,387848773.230000,0.693457,0.036526
202402,202408,6,559297614.490000,304959130.560000,0.545254,0.036526
202402,202501,11,559297614.490000,200560924.850000,0.358594,0.036526
202402,202402,0,559297614.490000,559297614.490000,1.000000,0.036526
202402,202507,17,559297614.490000,127881240.530000,0.228646,0.036526
202402,202409,7,559297614.490000,279250913.850000,0.499289,0.036526
202402,202412,10,559297614.490000,219191041.830000,0.391904,0.036526
202402,202505,15,559297614.490000,149232384.920000,0.266821,0.036526
202402,202503,13,559297614.490000,171704216.170000,0.307000,0.036526
202402,202509,19,559297614.490000,109105463.010000,0.195076,0.036526
202402,202508,18,559297614.490000,118964265.980000,0.212703,0.036526
202402,202504,14,559297614.490000,160555098.120000,0.287066,0.036526
202406,202501,7,551422639.090000,281744014.790000,0.510940,0.029286
202406,202409,3,551422639.090000,383740194.230000,0.695909,0.029286
202406,202410,4,551422639.090000,351713880.270000,0.637830,0.029286
202406,202407,1,551422639.090000,470472428.640000,0.853198,0.029286
202406,202406,0,551422639.090000,551422639.090000,1.000000,0.029286
202506,202508,2,823845167.620000,634054694.260000,0.769628,0.020243
202506,202506,0,823845167.620000,823845167.620000,1.000000,0.020243
202406,202412,6,551422639.090000,304055995.640000,0.551403,0.029286
202406,202504,10,551422639.090000,223619498.450000,0.405532,0.029286
202506,202509,3,823845167.620000,576531299.050000,0.699805,0.020243
202406,202411,5,551422639.090000,329055121.770000,0.596739,0.029286
202506,202510,4,823845167.620000,530207003.630000,0.643576,0.020243
202406,202502,8,551422639.090000,260901487.080000,0.473143,0.029286
202406,202503,9,551422639.090000,242164761.420000,0.439164,0.029286
202506,202507,1,823845167.620000,701345049.700000,0.851307,0.020243
202406,202507,13,551422639.090000,180437990.470000,0.327223,0.029286
202406,202510,16,551422639.090000,146619154.500000,0.265893,0.029286
202406,202408,2,551422639.090000,420186069.290000,0.762004,0.029286
202406,202508,14,551422639.090000,168869354.870000,0.306243,0.029286
202406,202505,11,551422639.090000,208115641.660000,0.377416,0.029286
202406,202506,12,551422639.090000,192556282.440000,0.349199,0.029286
202406,202509,15,551422639.090000,156962272.330000,0.284650,0.029286
202508,202508,0,700128894.560000,700128894.560000,1.000000,0.022046
202508,202509,1,700128894.560000,579488222.510000,0.827688,0.022046
202508,202510,2,700128894.560000,516353033.800000,0.737511,0.022046
202502,202507,5,689166020.510000,404920243.080000,0.587551,0.022133
202502,202502,0,689166020.510000,689166020.510000,1.000000,0.022133
202502,202510,8,689166020.510000,326242046.710000,0.473387,0.022133
202502,202506,4,689166020.510000,434255341.200000,0.630117,0.022133
202502,202504,2,689166020.510000,517455056.340000,0.750842,0.022133
202502,202508,6,689166020.510000,378376554.490000,0.549035,0.022133
202502,202509,7,689166020.510000,350563587.310000,0.508678,0.022133
202502,202505,3,689166020.510000,472340283.050000,0.685380,0.022133
202502,202503,1,689166020.510000,577077634.100000,0.837356,0.022133
202501,202501,0,723059932.750000,723059932.750000,1.000000,0.020711
202501,202508,7,723059932.750000,372622810.560000,0.515342,0.020711
202501,202506,5,723059932.750000,431095858.610000,0.596210,0.020711
202501,202504,3,723059932.750000,502829922.930000,0.695419,0.020711
202501,202505,4,723059932.750000,466483219.750000,0.645152,0.020711
202501,202503,2,723059932.750000,549341201.710000,0.759745,0.020711
202501,202502,1,723059932.750000,626243282.590000,0.866101,0.020711
202501,202510,9,723059932.750000,322815837.330000,0.446458,0.020711
202501,202507,6,723059932.750000,401175542.580000,0.554830,0.020711
202501,202509,8,723059932.750000,346160344.160000,0.478744,0.020711
202504,202504,0,620376240.630000,620376240.630000,1.000000,0.023864
202504,202506,2,620376240.630000,452973849.510000,0.730160,0.023864
202504,202508,4,620376240.630000,379287873.310000,0.611384,0.023864
202504,202510,6,620376240.630000,322446142.570000,0.519759,0.023864
202504,202505,1,620376240.630000,514108272.540000,0.828704,0.023864
202504,202507,3,620376240.630000,411012817.340000,0.662522,0.023864
202504,202509,5,620376240.630000,349603659.700000,0.563535,0.023864
202401,202406,5,479905410.510000,274878854.240000,0.572777,0.040372
202401,202401,0,479905410.510000,479905410.510000,1.000000,0.040372
202401,202405,4,479905410.510000,296016645.890000,0.616823,0.040372
202401,202402,1,479905410.510000,414129393.830000,0.862940,0.040372
202401,202410,9,479905410.510000,194219790.610000,0.404704,0.040372
202401,202502,13,479905410.510000,144359940.880000,0.300809,0.040372
202401,202501,12,479905410.510000,155190032.430000,0.323376,0.040372
202401,202403,2,479905410.510000,362666831.270000,0.755705,0.040372
202401,202506,17,479905410.510000,108108292.990000,0.225270,0.040372
202401,202507,18,479905410.510000,101180351.780000,0.210834,0.040372
202401,202407,6,479905410.510000,252461067.370000,0.526064,0.040372
202401,202404,3,479905410.510000,325200808.350000,0.677635,0.040372
202401,202509,20,479905410.510000,86636398.690000,0.180528,0.040372
202401,202411,10,479905410.510000,181365251.620000,0.377919,0.040372
202401,202408,7,479905410.510000,230371262.990000,0.480035,0.040372
202401,202505,16,479905410.510000,115972260.620000,0.241656,0.040372
202401,202412,11,479905410.510000,168954908.680000,0.352059,0.040372
202401,202409,8,479905410.510000,210392195.550000,0.438403,0.040372
202401,202503,14,479905410.510000,134371015.040000,0.279995,0.040372
202401,202510,21,479905410.510000,80974435.780000,0.168730,0.040372
202401,202504,15,479905410.510000,124780738.920000,0.260011,0.040372
202401,202508,19,479905410.510000,93403954.210000,0.194630,0.040372
202409,202503,6,647343786.400000,359124729.090000,0.554767,0.023737
202409,202509,12,647343786.400000,232976764.990000,0.359897,0.023737
202409,202501,4,647343786.400000,419770188.150000,0.648450,0.023737
202409,202411,2,647343786.400000,497906305.010000,0.769153,0.023737
202409,202412,3,647343786.400000,456551960.420000,0.705270,0.023737
202409,202410,1,647343786.400000,551593550.130000,0.852088,0.023737
202409,202510,13,647343786.400000,216439277.030000,0.334350,0.023737
202409,202502,5,647343786.400000,393317272.320000,0.607586,0.023737
202409,202508,11,647343786.400000,250260325.680000,0.386596,0.023737
202409,202504,7,647343786.400000,333518356.750000,0.515211,0.023737
202409,202409,0,647343786.400000,647343786.400000,1.000000,0.023737
202409,202506,9,647343786.400000,289426587.370000,0.447099,0.023737
202409,202505,8,647343786.400000,310228070.540000,0.479232,0.023737
202409,202507,10,647343786.400000,267894911.570000,0.413837,0.023737
202410,202412,2,654136332.410000,503024711.660000,0.768991,0.023531
202412,202503,3,611476334.710000,423025777.260000,0.691811,0.022025
202410,202502,4,654136332.410000,422993805.150000,0.646645,0.023531
202412,202501,1,611476334.710000,519733563.110000,0.849965,0.022025
202410,202508,10,654136332.410000,271287832.730000,0.414727,0.023531
202410,202411,1,654136332.410000,563583161.870000,0.861568,0.023531
202410,202410,0,654136332.410000,654136332.410000,1.000000,0.023531
202410,202509,11,654136332.410000,251022051.000000,0.383746,0.023531
202410,202504,6,654136332.410000,360371667.480000,0.550912,0.023531
202410,202501,3,654136332.410000,456432205.860000,0.697763,0.023531
202412,202504,4,611476334.710000,390291011.670000,0.638277,0.022025
202412,202506,6,611476334.710000,338119694.290000,0.552956,0.022025
202412,202412,0,611476334.710000,611476334.710000,1.000000,0.022025
202410,202507,9,654136332.410000,289451901.300000,0.442495,0.023531
202412,202509,9,611476334.710000,272386232.790000,0.445457,0.022025
202412,202510,10,611476334.710000,255613687.740000,0.418027,0.022025
202410,202503,5,654136332.410000,388821238.000000,0.594404,0.023531
202412,202502,2,611476334.710000,470033293.250000,0.768686,0.022025
202412,202508,8,611476334.710000,292381600.430000,0.478157,0.022025
202410,202506,8,654136332.410000,312165504.550000,0.477218,0.023531
202412,202505,5,611476334.710000,363606321.210000,0.594637,0.022025
202410,202505,7,654136332.410000,335882473.940000,0.513475,0.023531
202412,202507,7,611476334.710000,311771384.710000,0.509867,0.022025
202410,202510,12,654136332.410000,234244697.120000,0.358098,0.023531
202404,202404,0,589710864.580000,589710864.580000,1.000000,0.031613
202404,202406,2,589710864.580000,467759569.780000,0.793202,0.031613
202404,202408,4,589710864.580000,388156033.800000,0.658214,0.031613
202404,202409,5,589710864.580000,357223341.030000,0.605760,0.031613
202404,202412,8,589710864.580000,280405624.160000,0.475497,0.031613
202404,202501,9,589710864.580000,258677921.280000,0.438652,0.031613
202404,202410,6,589710864.580000,328890011.250000,0.557714,0.031613
202404,202507,15,589710864.580000,168947619.770000,0.286492,0.031613
202404,202405,1,589710864.580000,518103166.270000,0.878572,0.031613
202404,202510,18,589710864.580000,136251010.470000,0.231047,0.031613
202404,202502,10,589710864.580000,241867466.710000,0.410146,0.031613
202404,202505,13,589710864.580000,194030846.000000,0.329027,0.031613
202404,202407,3,589710864.580000,421831095.250000,0.715319,0.031613
202404,202411,7,589710864.580000,301961239.750000,0.512050,0.031613
202404,202506,14,589710864.580000,180833671.330000,0.306648,0.031613
202404,202509,17,589710864.580000,146055397.570000,0.247673,0.031613
202404,202503,11,589710864.580000,224071611.410000,0.379969,0.031613
202404,202504,12,589710864.580000,207740263.240000,0.352275,0.031613
202404,202508,16,589710864.580000,156594227.010000,0.265544,0.031613
202407,202408,1,527914811.720000,451778082.310000,0.855778,0.023694
202407,202409,2,527914811.720000,396547672.920000,0.751158,0.023694
202407,202410,3,527914811.720000,360595820.590000,0.683057,0.023694
202407,202507,12,527914811.720000,180616722.550000,0.342132,0.023694
202503,202503,0,676592405.890000,676592405.890000,1.000000,0.023521
202407,202501,6,527914811.720000,286280737.400000,0.542286,0.023694
202503,202505,2,676592405.890000,514021709.190000,0.759721,0.023521
202407,202506,11,527914811.720000,195690741.110000,0.370686,0.023694
202407,202411,4,527914811.720000,331120262.210000,0.627223,0.023694
202503,202509,6,676592405.890000,363689347.070000,0.537531,0.023521
202407,202502,7,527914811.720000,267251309.430000,0.506239,0.023694
202503,202506,3,676592405.890000,465728485.750000,0.688344,0.023521
202503,202504,1,676592405.890000,575314327.450000,0.850312,0.023521
202407,202509,14,527914811.720000,157979829.500000,0.299253,0.023694
202407,202407,0,527914811.720000,527914811.720000,1.000000,0.023694
202407,202505,10,527914811.720000,213499108.120000,0.404420,0.023694
202503,202510,7,676592405.890000,336059310.490000,0.496694,0.023521
202407,202412,5,527914811.720000,307462730.230000,0.582410,0.023694
202503,202508,5,676592405.890000,396336473.340000,0.585783,0.023521
202503,202507,4,676592405.890000,426338236.690000,0.630126,0.023521
202407,202504,9,527914811.720000,228493870.260000,0.432823,0.023694
202407,202503,8,527914811.720000,245107349.950000,0.464293,0.023694
202407,202508,13,527914811.720000,169528447.390000,0.321128,0.023694
202407,202510,15,527914811.720000,147530243.600000,0.279458,0.023694
202408,202408,0,579965695.710000,579965695.710000,1.000000,0.024186
202408,202409,1,579965695.710000,490010064.420000,0.844895,0.024186
202408,202412,4,579965695.710000,368692756.230000,0.635715,0.024186
202408,202410,2,579965695.710000,435310289.320000,0.750579,0.024186
202408,202507,11,579965695.710000,215141414.760000,0.370955,0.024186
202408,202508,12,579965695.710000,200190126.470000,0.345176,0.024186
202408,202509,13,579965695.710000,184970966.530000,0.318934,0.024186
202408,202502,6,579965695.710000,316654632.630000,0.545989,0.024186
202408,202505,9,579965695.710000,250450059.290000,0.431836,0.024186
202408,202506,10,579965695.710000,232784874.210000,0.401377,0.024186
202408,202501,5,579965695.710000,339985779.000000,0.586217,0.024186
202408,202503,7,579965695.710000,291489991.160000,0.502599,0.024186
202408,202504,8,579965695.710000,269879693.160000,0.465337,0.024186
202408,202510,14,579965695.710000,171429384.430000,0.295585,0.024186
202408,202411,3,579965695.710000,399420117.020000,0.688696,0.024186
202509,202510,1,791027717.560000,664424943.160000,0.839952,0.020786
202509,202509,0,791027717.560000,791027717.560000,1.000000,0.020786
202411,202503,4,644670190.730000,406630645.090000,0.630758,0.021203
202411,202507,8,644670190.730000,300931012.170000,0.466798,0.021203
202411,202505,6,644670190.730000,352211614.650000,0.546344,0.021203
202411,202510,11,644670190.730000,245401804.250000,0.380663,0.021203
202411,202412,1,644670190.730000,542241690.480000,0.841115,0.021203
202411,202501,2,644670190.730000,481609295.120000,0.747063,0.021203
202411,202508,9,644670190.730000,282576422.070000,0.438327,0.021203
202411,202502,3,644670190.730000,445867060.280000,0.691620,0.021203
202411,202506,7,644670190.730000,325206352.650000,0.504454,0.021203
202411,202504,5,644670190.730000,381071730.670000,0.591111,0.021203
202411,202509,10,644670190.730000,263862091.300000,0.409298,0.021203
202411,202411,0,644670190.730000,644670190.730000,1.000000,0.021203
202510,202510,0,739185502.010000,739185502.010000,1.000000,0.021706
202507,202507,0,696182657.390000,696182657.390000,1.000000,0.021092
202507,202509,2,696182657.390000,528392035.940000,0.758985,0.021092
202507,202508,1,696182657.390000,593292313.760000,0.852208,0.021092
202507,202510,3,696182657.390000,483844454.580000,0.694996,0.021092
202403,202505,14,535164709.460000,160065759.830000,0.299096,0.031617
202403,202410,7,535164709.460000,267401248.170000,0.499662,0.031617
202403,202408,5,535164709.460000,316306970.250000,0.591046,0.031617
202403,202507,16,535164709.460000,137378179.620000,0.256703,0.031617
202403,202503,12,535164709.460000,185099180.550000,0.345873,0.031617
202403,202405,2,535164709.460000,409031430.070000,0.764309,0.031617
202403,202502,11,535164709.460000,198674770.490000,0.371240,0.031617
202403,202406,3,535164709.460000,377115227.620000,0.704671,0.031617
202403,202404,1,535164709.460000,459091658.060000,0.857851,0.031617
202403,202407,4,535164709.460000,342061039.950000,0.639170,0.031617
202403,202412,9,535164709.460000,230187501.350000,0.430125,0.031617
202403,202409,6,535164709.460000,290857232.990000,0.543491,0.031617
202403,202411,8,535164709.460000,247364609.420000,0.462221,0.031617
202403,202501,10,535164709.460000,212711044.920000,0.397468,0.031617
202403,202403,0,535164709.460000,535164709.460000,1.000000,0.031617
202403,202504,13,535164709.460000,171915165.670000,0.321238,0.031617
202403,202506,15,535164709.460000,147687907.440000,0.275967,0.031617
202403,202509,18,535164709.460000,119277928.700000,0.222881,0.031617
202403,202510,19,535164709.460000,109977625.180000,0.205502,0.031617
202403,202508,17,535164709.460000,128728492.520000,0.240540,0.031617
202405,202503,10,613027113.020000,256062940.810000,0.417702,0.029489
202405,202409,4,613027113.020000,404804452.620000,0.660337,0.029489
202405,202406,1,613027113.020000,540724270.980000,0.882056,0.029489
202405,202506,13,613027113.020000,208325965.830000,0.339832,0.029489
202405,202405,0,613027113.020000,613027113.020000,1.000000,0.029489
202405,202411,6,613027113.020000,345997236.920000,0.564408,0.029489
202405,202504,11,613027113.020000,239025170.520000,0.389910,0.029489
202405,202501,8,613027113.020000,295858562.350000,0.482619,0.029489
202405,202407,2,613027113.020000,481052882.180000,0.784717,0.029489
202405,202408,3,613027113.020000,440174537.920000,0.718034,0.029489
202405,202505,12,613027113.020000,223359868.880000,0.364356,0.029489
202405,202410,5,613027113.020000,370651421.990000,0.604625,0.029489
202405,202502,9,613027113.020000,276030508.030000,0.450275,0.029489
202405,202508,15,613027113.020000,182112411.400000,0.297071,0.029489
202405,202412,7,613027113.020000,319798558.460000,0.521671,0.029489
202405,202509,16,613027113.020000,170025046.370000,0.277353,0.029489
202405,202507,14,613027113.020000,194444874.070000,0.317188,0.029489
202405,202510,17,613027113.020000,159082366.600000,0.259503,0.029489
202505,202507,2,657377084.080000,473091108.440000,0.719665,0.019455
202505,202509,4,657377084.080000,393550953.890000,0.598669,0.019455
202505,202508,3,657377084.080000,429906085.330000,0.653972,0.019455
202505,202505,0,657377084.080000,657377084.080000,1.000000,0.019455
